City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
418,Ambilobe,MG,-13.2,49.05,73.85,96,98,1.57,moderate rain
419,Kulhudhuffushi,MV,6.6221,73.07,83.03,69,25,6.87,scattered clouds
420,Kodinsk,RU,58.6881,99.1844,-16.76,100,88,1.32,overcast clouds
421,Iralaya,HN,15.0,-83.2333,84.22,60,15,7.72,few clouds
422,Husavik,IS,66.0449,-17.3389,32.49,72,11,13.35,few clouds
423,Goure,NE,13.9835,10.2704,84.02,15,77,9.6,broken clouds
424,Erenhot,CN,43.6475,111.9767,31.21,38,97,14.32,overcast clouds
425,Banda Aceh,ID,5.5577,95.3222,79.54,83,94,5.39,overcast clouds
426,Toktogul,KG,41.8708,72.9402,42.91,99,100,1.5,light rain
427,Gizo,SB,-8.103,156.8419,81.95,73,93,6.42,overcast clouds
428,Chute-Aux-Outardes,CA,49.1168,-68.399,28.38,93,100,13.8,snow
429,Pathein,MM,16.7833,94.7333,74.52,75,70,7.0,broken clouds
430,Namatanai,PG,-3.6667,152.4333,78.28,77,44,5.84,scattered clouds
431,Vredendal,ZA,-31.6683,18.5012,70.92,81,2,8.79,clear sky
432,Stephanskirchen,DE,47.8595,12.1528,40.84,78,5,3.31,clear sky
433,Monterey,US,36.2505,-121.2516,57.18,39,1,3.58,clear sky
434,Mogocha,RU,53.7333,119.7667,0.91,97,100,2.71,overcast clouds
435,Topdac,PH,16.5553,120.7116,59.36,94,94,4.16,overcast clouds
436,Quemado De Guines,CU,22.7853,-80.2536,88.02,37,0,13.0,clear sky
437,Belaya Gora,RU,68.5333,146.4167,-20.2,100,98,4.27,overcast clouds
438,Tomohon,ID,1.3346,124.8392,67.14,94,95,0.89,overcast clouds
439,Klyuchi,RU,52.2667,79.1667,11.39,93,99,10.94,overcast clouds
440,Flinders,AU,-34.5833,150.8552,61.18,88,49,4.0,scattered clouds
441,Makueni,KE,-1.8041,37.6203,69.78,51,83,4.76,broken clouds
442,Fort Saint James,CA,54.4333,-124.25,37.92,62,46,4.65,scattered clouds
443,Xam Nua,LA,20.4197,104.0439,65.91,97,31,2.08,scattered clouds
444,Progreso,MX,21.2833,-89.6667,73.51,82,21,25.32,few clouds
445,Nantucket,US,41.2835,-70.0995,52.14,98,100,21.85,fog
446,Innisfail,AU,-17.5333,146.0333,76.37,93,100,5.66,light rain
447,Safaga,EG,26.7292,33.9365,59.67,46,14,25.57,few clouds
448,Campbell River,CA,50.0163,-125.2446,40.53,93,100,8.05,mist
449,Nadym,RU,65.5333,72.5167,8.02,95,100,13.76,overcast clouds
450,San Alberto,CO,7.7611,-73.3922,88.29,62,98,3.36,overcast clouds
451,Los Llanos De Aridane,ES,28.6585,-17.9182,63.12,82,75,13.8,broken clouds
452,Oussouye,SN,12.485,-16.5469,86.52,38,59,11.74,broken clouds
453,Poronaysk,RU,49.2167,143.1167,9.79,98,91,2.82,overcast clouds
454,Villamontes,BO,-21.25,-63.5,72.81,73,94,1.45,overcast clouds
455,Tiksi,RU,71.6872,128.8694,-17.86,99,72,6.31,broken clouds
456,Lazaro Cardenas,MX,17.9583,-102.2,81.46,50,3,8.23,clear sky
457,Alta Floresta,BR,-9.8756,-56.0861,81.84,83,84,2.06,broken clouds
458,Guozhen,CN,34.3659,107.359,61.03,62,3,3.74,clear sky
459,Galesong,ID,-5.3166,119.3661,78.82,83,99,3.47,overcast clouds
460,Nakamura,JP,32.9833,132.9333,52.52,96,37,1.52,scattered clouds
461,Guane,CU,22.2025,-84.0875,90.14,47,3,11.5,clear sky
462,Dzaoudzi,YT,-12.7887,45.2699,82.29,78,0,4.61,clear sky
463,Bukama,CD,-9.2,25.85,70.07,94,100,4.59,light rain
464,Esna,EG,25.2934,32.554,60.22,27,44,19.13,scattered clouds
465,Andenes,NO,69.3143,16.1194,40.98,75,0,13.8,clear sky
466,Sao Sebastiao,BR,-23.76,-45.4097,76.68,89,100,4.9,overcast clouds
467,Praia,CV,14.9215,-23.5087,81.14,44,5,19.57,clear sky
468,Vila Velha,BR,-20.3297,-40.2925,87.75,73,0,18.41,clear sky
469,Kumeny,RU,58.1089,49.9161,4.5,98,81,5.1,broken clouds
470,Kyren,RU,51.6828,102.1408,9.91,97,99,0.85,overcast clouds
471,Angoche,MZ,-16.2325,39.9086,77.68,91,100,8.14,moderate rain
472,Goderich,CA,43.7501,-81.7165,22.91,49,100,18.41,overcast clouds
473,Verkhnyaya Sinyachikha,RU,57.976,61.6673,-1.93,96,44,5.12,scattered clouds
474,Paragominas,BR,-2.9667,-47.4833,76.08,88,100,2.59,overcast clouds
475,Ujszasz,HU,47.3,20.0833,35.89,30,20,2.8,few clouds
476,Katherine,AU,-14.4667,132.2667,77.32,88,81,0.0,broken clouds
477,Paciran,ID,-6.8767,112.3761,79.41,85,99,6.44,overcast clouds
478,Emba,KZ,48.8264,58.1442,6.73,93,99,8.3,overcast clouds
479,Kerchevskiy,RU,59.946,56.2884,9.61,95,91,6.11,overcast clouds
480,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,73.9,76,100,6.8,overcast clouds
481,Capitao Poco,BR,-1.7464,-47.0594,74.37,90,100,3.74,light rain
482,Aksu,CN,41.1231,80.2644,53.94,26,67,5.19,broken clouds
483,Beaverlodge,CA,55.2166,-119.4361,36.75,90,5,3.4,clear sky
484,Plettenberg Bay,ZA,-34.0527,23.3716,76.75,62,16,6.73,few clouds
485,Idritsa,RU,56.3316,28.8988,28.53,93,96,3.18,overcast clouds
486,Porto Murtinho,BR,-21.6989,-57.8825,82.53,57,100,5.99,overcast clouds
487,Kigoma,TZ,-4.8769,29.6267,76.24,79,99,8.57,light rain
488,Urucui,BR,-7.2294,-44.5561,84.74,66,86,4.65,light rain
489,Lagoa Santa,BR,-19.6272,-43.8897,85.17,51,40,2.3,scattered clouds
490,Alofi,NU,-19.0595,-169.9187,81.21,70,98,5.53,light rain
491,Lavrentiya,RU,65.5833,-171.0,1.62,80,3,8.43,clear sky
492,Bereda,ES,43.2686,-7.5406,48.58,96,99,7.05,overcast clouds
493,Kushmurun,KZ,52.4503,64.6311,5.61,95,89,12.39,overcast clouds
494,Lorengau,PG,-2.0226,147.2712,81.81,75,90,6.13,overcast clouds
495,Abnub,EG,27.2696,31.1511,56.1,32,0,15.05,clear sky
496,Urengoy,RU,65.9667,78.3667,-10.8,100,42,8.95,scattered clouds
497,Podor,MR,16.6527,-14.9587,97.09,4,1,14.36,clear sky
498,Portland,US,45.5234,-122.6762,56.91,56,20,5.01,few clouds
499,Pokrovsk,UA,48.282,37.1758,17.98,82,37,2.98,scattered clouds
500,Yumen,CN,40.2833,97.2,50.16,20,97,12.55,overcast clouds
501,Bathsheba,BB,13.2167,-59.5167,84.81,58,20,28.77,few clouds
502,Aduturai,IN,11.0147,79.4791,72.88,80,22,6.76,few clouds
503,Cotacachi,EC,0.3,-78.2667,62.15,81,98,5.77,moderate rain
504,Bilibino,RU,68.0546,166.4372,-8.01,76,41,4.29,scattered clouds
505,Karasburg,NA,-28.0167,18.75,73.89,64,75,12.73,broken clouds
506,Mushie,CD,-3.0167,16.9,71.96,94,100,2.48,overcast clouds
507,Gwadar,PK,25.1216,62.3254,77.65,67,56,7.56,broken clouds
508,Talcahuano,CL,-36.7167,-73.1167,63.45,69,0,7.23,clear sky
509,Sao Filipe,CV,14.8961,-24.4956,77.31,55,3,14.9,clear sky
510,Carutapera,BR,-1.195,-46.02,77.83,81,100,6.62,moderate rain
511,Doha,QA,25.2867,51.5333,75.18,75,0,12.66,clear sky
512,Olinda,BR,-8.0089,-34.8553,85.73,66,20,10.36,few clouds
513,Dharchula,IN,29.85,80.5333,57.92,26,0,8.61,clear sky
514,Bheramara,BD,24.0232,88.9925,76.24,24,54,5.66,broken clouds
515,San Jose,US,37.3394,-121.895,66.45,43,0,5.75,clear sky
516,Tecoanapa,MX,16.5167,-98.75,82.0,60,1,8.43,clear sky
517,Moron,AR,-34.6534,-58.6198,77.0,49,0,3.85,clear sky
518,Zaragoza,ES,41.6561,-0.8773,61.25,41,0,4.61,clear sky
519,Tilichiki,RU,60.4667,166.1,5.76,95,73,7.36,broken clouds
520,Gresham,US,45.4982,-122.4315,55.94,51,0,6.91,clear sky
521,Yangjiang,CN,21.85,111.9667,67.91,88,8,2.82,clear sky
522,Srednekolymsk,RU,67.45,153.6833,-11.9,95,100,5.32,overcast clouds
523,Beatrice,US,40.2681,-96.747,26.69,39,0,17.27,clear sky
524,Kabinda,CD,-6.1333,24.4833,67.69,93,100,7.29,moderate rain
525,Atagay,RU,55.1033,99.3875,-8.41,100,77,1.1,broken clouds
526,Dehloran,IR,32.6941,47.2679,60.6,35,100,7.09,overcast clouds
527,Luhyny,UA,51.082,28.4006,31.98,54,100,8.41,overcast clouds
528,Chisinau,MD,47.0056,28.8575,31.93,47,0,9.22,clear sky
529,Artigas,UY,-30.4,-56.4667,75.24,46,7,6.73,clear sky
530,Soubre,CI,5.7856,-6.6083,83.21,72,99,3.8,overcast clouds
531,Mutoko,ZW,-17.397,32.2268,63.81,86,94,1.32,light rain
532,Buraydah,SA,26.326,43.975,66.65,23,25,20.09,scattered clouds
533,Tungor,RU,53.3808,142.9564,11.1,97,99,5.64,overcast clouds
534,Whitley Bay,GB,55.0397,-1.4471,52.32,59,40,5.75,scattered clouds
535,Mpika,ZM,-11.8343,31.4529,62.04,98,85,4.36,overcast clouds
536,Nuqui,CO,5.7125,-77.2708,83.68,73,93,8.21,overcast clouds
537,Puro,PH,12.4841,123.3827,78.64,86,100,3.53,overcast clouds
538,Acapulco,MX,16.8634,-99.8901,78.62,69,0,9.22,clear sky
539,Muros,ES,42.7762,-9.0603,53.1,84,99,13.4,overcast clouds
540,Tual,ID,-5.6667,132.75,83.19,74,66,3.94,broken clouds
541,Sapa,PH,5.1544,120.3241,81.0,80,55,4.92,broken clouds
542,Aykhal,RU,66.0,111.5,-22.36,100,95,0.6,overcast clouds
543,Kemijarvi,FI,66.7131,27.4306,32.22,94,100,2.86,overcast clouds
544,Finschhafen,PG,-6.6024,147.8681,79.27,82,75,5.7,light rain
545,Carbonia,IT,39.1672,8.5222,54.25,94,100,15.66,light rain
546,Kamenka,RU,51.3223,42.7678,1.85,99,100,3.91,overcast clouds
547,Yamada,JP,39.4667,141.95,38.14,69,100,2.73,overcast clouds
548,Olga,RU,43.7444,135.2892,31.66,88,100,1.81,light snow
549,Conde,BR,-7.2597,-34.9075,85.46,70,75,12.66,broken clouds
550,Madera,US,37.1666,-119.8343,71.53,31,0,1.99,clear sky
551,Qaqortoq,GL,60.7167,-46.0333,13.69,67,100,29.66,overcast clouds
552,Kiunga,PG,-6.1219,141.2906,71.85,99,91,1.7,overcast clouds
553,Vypolzovo,RU,57.8767,33.6986,30.09,96,95,3.47,overcast clouds
554,Molepolole,BW,-24.4066,25.4951,75.34,38,0,3.69,clear sky
555,Kuraymah,SD,18.55,31.85,74.05,11,2,17.02,clear sky
556,Derzhavinsk,KZ,51.1,66.3167,10.65,93,100,15.86,overcast clouds
557,Popondetta,PG,-8.7537,148.2534,73.99,97,73,2.42,broken clouds
