City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
414,Praya,CV,81.14,clear sky,14.9215,-23.5087,LT Aparthotel
419,Kulhudhuffushi,MV,83.03,scattered clouds,6.6221,73.07,Haajy Guest House 1
421,Iralaya,HN,84.22,few clouds,15.0,-83.2333,Iglesia morava renovada
425,Banda Aceh,ID,79.54,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
427,Gizo,SB,81.95,overcast clouds,-8.103,156.8419,Imagination Island
430,Namatanai,PG,78.28,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
436,Quemado De Guines,CU,88.02,clear sky,22.7853,-80.2536,Hotel Yara
446,Innisfail,AU,76.37,light rain,-17.5333,146.0333,Moondarra Motel
450,San Alberto,CO,88.29,overcast clouds,7.7611,-73.3922,Hotel San Alberto Plaza
452,Oussouye,SN,86.52,broken clouds,12.485,-16.5469,Auberge du Routard
456,Lazaro Cardenas,MX,81.46,clear sky,17.9583,-102.2,quinta antigua
457,Alta Floresta,BR,81.84,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
459,Galesong,ID,78.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
462,Dzaoudzi,YT,82.29,clear sky,-12.7887,45.2699,Le Rocher
466,Sao Sebastiao,BR,76.68,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
467,Praia,CV,81.14,clear sky,14.9215,-23.5087,LT Aparthotel
468,Vila Velha,BR,87.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
471,Angoche,MZ,77.68,moderate rain,-16.2325,39.9086,Guest House HESADA
474,Paragominas,BR,76.08,overcast clouds,-2.9667,-47.4833,INOVA
476,Katherine,AU,77.32,broken clouds,-14.4667,132.2667,Pine Tree Motel
477,Paciran,ID,79.41,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
484,Plettenberg Bay,ZA,76.75,few clouds,-34.0527,23.3716,Thanda Vista B&B
486,Porto Murtinho,BR,82.53,overcast clouds,-21.6989,-57.8825,Hotel Pantanal
487,Kigoma,TZ,76.24,light rain,-4.8769,29.6267,MJI Mwema Lodge
488,Urucui,BR,84.74,light rain,-7.2294,-44.5561,Hotel Premium Piauí
489,Lagoa Santa,BR,85.17,scattered clouds,-19.6272,-43.8897,Hotel Lund
490,Alofi,NU,81.21,light rain,-19.0595,-169.9187,Taloa Heights
494,Lorengau,PG,81.81,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
501,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
507,Gwadar,PK,77.65,broken clouds,25.1216,62.3254,Sadaf Resort
509,Sao Filipe,CV,77.31,clear sky,14.8961,-24.4956,Hotel Xaguate
510,Carutapera,BR,77.83,moderate rain,-1.195,-46.02,Lidera
511,Doha,QA,75.18,clear sky,25.2867,51.5333,Movenpick Hotel Doha
512,Olinda,BR,85.73,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
514,Bheramara,BD,76.24,broken clouds,24.0232,88.9925,Govt Guest House (Dac Banglo)
516,Tecoanapa,MX,82.0,clear sky,16.5167,-98.75,Hotel Manglares
517,Moron,AR,77.0,clear sky,-34.6534,-58.6198,Hotel Morón
529,Artigas,UY,75.24,clear sky,-30.4,-56.4667,Hotel Casino San Eugenio del Cuareim
530,Soubre,CI,83.21,overcast clouds,5.7856,-6.6083,Lynd Hotels Soubre
536,Nuqui,CO,83.68,overcast clouds,5.7125,-77.2708,Hotel Nuquimar
538,Acapulco,MX,78.62,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
540,Tual,ID,83.19,broken clouds,-5.6667,132.75,Grand Vilia Hotel
544,Finschhafen,PG,79.27,light rain,-6.6024,147.8681,Cossam Guest House
549,Conde,BR,85.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
554,Molepolole,BW,75.34,clear sky,-24.4066,25.4951,Butterfly Tree Guesthouse
558,Eyl,SO,77.41,broken clouds,7.9803,49.8164,Amiin Hotel
561,Soyo,AO,80.94,overcast clouds,-6.1349,12.3689,Hotel Mpampa
562,Susner,IN,76.41,clear sky,23.95,76.0833,BaBji Electronics
566,Port Hedland,AU,80.65,few clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
574,Bom Jardim,BR,89.04,overcast clouds,-7.7958,-35.5872,Pousada do Posto Jose Breno
575,Sulangan,PH,81.07,overcast clouds,11.1373,123.7228,Maia's Beach Resort
576,Novo Oriente,BR,83.05,overcast clouds,-5.5344,-40.7742,Golden Palace Hotel
577,Pontian Kecil,MY,77.32,few clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
579,Corrente,BR,84.6,overcast clouds,-3.7367,-43.3394,Chapadinhense Hotel
580,Buala,SB,76.77,light rain,-8.145,159.5921,Maringe Lagoon Lodge
581,Soroti,UG,82.94,broken clouds,1.7146,33.6111,Strikers Hotel
582,Barahona,DO,85.82,few clouds,18.2085,-71.1008,Hotel Caribe
587,Inhambane,MZ,76.08,scattered clouds,-23.865,35.3833,Oceano
592,Chiang Klang,TH,79.74,scattered clouds,19.2938,100.8617,Sangthong Resort
597,Bandarbeyla,SO,77.47,broken clouds,9.4942,50.8122,JABIR HOTEL
