City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
82,Dikson,RU,2022-03-11 22:27:51,73.5069,80.5464,-0.96,94,100,24.52
83,Albany,US,2022-03-11 22:28:22,42.6001,-73.9662,50.41,57,99,1.01
84,Vostok,RU,2022-03-11 22:33:20,46.4856,135.8833,18.75,88,97,3.89
85,Tambacounda,SN,2022-03-11 22:33:20,13.7539,-13.7586,91.45,10,0,11.5
86,San Quintin,MX,2022-03-11 22:25:28,30.4833,-115.95,64.99,41,61,6.46
87,Huandacareo,MX,2022-03-11 22:33:20,19.9833,-101.2833,82.35,8,4,3.31
88,Ouahigouya,BF,2022-03-11 22:33:21,13.5828,-2.4216,83.21,13,54,10.22
89,Ponta Do Sol,PT,2022-03-11 22:31:01,32.6667,-17.1,63.23,68,93,1.14
90,Studena,CZ,2022-03-11 22:33:51,49.1852,15.2869,26.67,54,0,7.0
91,Khatanga,RU,2022-03-11 22:26:31,71.9667,102.5,-29.63,100,93,5.21
92,Dingle,PH,2022-03-11 22:31:06,10.9995,122.6711,77.59,88,78,4.54
93,Barrow,US,2022-03-11 22:25:18,71.2906,-156.7887,1.42,85,100,9.22
94,Punta Arenas,CL,2022-03-11 22:28:18,-53.15,-70.9167,51.91,58,0,6.91
95,Moron,AR,2022-03-11 22:33:52,-34.6534,-58.6198,71.35,52,0,5.39
96,Sao Filipe,CV,2022-03-11 22:33:52,14.8961,-24.4956,73.53,66,27,11.18
97,Qaanaaq,GL,2022-03-11 22:24:11,77.484,-69.3632,-11.65,72,34,5.37
98,Pevek,RU,2022-03-11 22:26:34,69.7008,170.3133,-1.39,79,1,2.68
99,Cape Town,ZA,2022-03-11 22:20:27,-33.9258,18.4232,70.12,78,0,1.14
100,Krasnoselkup,RU,2022-03-11 22:33:52,65.7,82.4667,-22.45,100,100,7.38
101,Deputatskiy,RU,2022-03-11 22:26:42,69.3,139.9,-16.28,98,92,5.61
102,Coos Bay,US,2022-03-11 22:33:53,43.3665,-124.2179,66.31,76,0,5.75
103,Avarua,CK,2022-03-11 22:31:45,-21.2078,-159.775,84.25,79,20,4.61
104,Bonavista,CA,2022-03-11 22:33:53,48.6499,-53.1147,30.24,65,99,19.24
105,Ribeira Grande,PT,2022-03-11 22:25:27,38.5167,-28.7,61.2,77,40,13.8
106,Vila Velha,BR,2022-03-11 22:25:56,-20.3297,-40.2925,80.55,83,20,12.66
107,Zhanaozen,KZ,2022-03-11 22:33:53,43.3,52.8,42.31,85,100,4.81
108,Touros,BR,2022-03-11 22:26:40,-5.1989,-35.4608,80.96,70,100,10.8
109,Bhimunipatnam,IN,2022-03-11 22:33:54,17.8833,83.4333,71.11,61,35,3.06
110,Bathsheba,BB,2022-03-11 22:33:54,13.2167,-59.5167,79.41,69,20,17.27
111,Pokrovskoye,RU,2022-03-11 22:33:54,47.4157,38.8971,23.27,71,100,15.08
112,Nebbi,UG,2022-03-11 22:33:55,2.4783,31.0889,79.5,39,100,4.16
113,Mount Isa,AU,2022-03-11 22:33:55,-20.7333,139.5,85.77,21,8,9.22
114,Mujiayingzi,CN,2022-03-11 22:33:55,42.1167,118.7833,36.09,75,100,8.86
115,Batagay-Alyta,RU,2022-03-11 22:33:55,67.8006,130.4114,-9.42,91,89,4.27
116,Milkovo,RU,2022-03-11 22:33:12,54.7167,158.6167,20.25,89,99,2.59
117,Broome,US,2022-03-11 22:33:56,42.2506,-75.833,48.9,63,40,10.0
118,Tuatapere,NZ,2022-03-11 22:33:56,-46.1333,167.6833,58.66,76,99,10.94
119,Cockburn Town,TC,2022-03-11 22:33:56,21.4612,-71.1419,78.03,81,0,20.04
